IdBundesland,Bundesland,Landkreis,Altersgruppe,Geschlecht,AnzahlFall,AnzahlTodesfall,ObjectId,Meldedatum,IdLandkreis,Datenstand
1,Schleswig-Holstein,SK Flensburg,A15-A34,M,1,0,182672,2020-03-14T00:00:00.000Z,01001,24.03.2020 00:00
1,Schleswig-Holstein,SK Flensburg,A15-A34,M,2,0,182673,2020-03-19T00:00:00.000Z,01001,24.03.2020 00:00
1,Schleswig-Holstein,SK Flensburg,A15-A34,M,1,0,182674,2020-03-21T00:00:00.000Z,01001,24.03.2020 00:00
1,Schleswig-Holstein,SK Flensburg,A15-A34,W,1,0,182675,2020-03-14T00:00:00.000Z,01001,24.03.2020 00:00
1,Schleswig-Holstein,SK Flensburg,A15-A34,W,2,0,182676,2020-03-18T00:00:00.000Z,01001,24.03.2020 00:00
1,Schleswig-Holstein,SK Flensburg,A35-A59,M,1,0,182677,2020-03-14T00:00:00.000Z,01001,24.03.2020 00:00
1,Schleswig-Holstein,SK Flensburg,A35-A59,M,1,0,182678,2020-03-20T00:00:00.000Z,01001,24.03.2020 00:00
1,Schleswig-Holstein,SK Flensburg,A35-A59,W,1,0,182679,2020-03-14T00:00:00.000Z,01001,24.03.2020 00:00
1,Schleswig-Holstein,SK Flensburg,A35-A59,W,2,0,182680,2020-03-19T00:00:00.000Z,01001,24.03.2020 00:00
1,Schleswig-Holstein,SK Flensburg,A35-A59,W,1,0,182681,2020-03-20T00:00:00.000Z,01001,24.03.2020 00:00
1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,182682,2020-03-10T00:00:00.000Z,01002,24.03.2020 00:00
1,Schleswig-Holstein,SK Kiel,A15-A34,M,2,0,182683,2020-03-11T00:00:00.000Z,01002,24.03.2020 00:00
1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,182684,2020-03-13T00:00:00.000Z,01002,24.03.2020 00:00
1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,182685,2020-03-14T00:00:00.000Z,01002,24.03.2020 00:00
1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,182686,2020-03-16T00:00:00.000Z,01002,24.03.2020 00:00
1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,182687,2020-03-18T00:00:00.000Z,01002,24.03.2020 00:00
1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,182688,2020-03-20T00:00:00.000Z,01002,24.03.2020 00:00
1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,182689,2020-03-21T00:00:00.000Z,01002,24.03.2020 00:00
1,Schleswig-Holstein,SK Kiel,A15-A34,M,2,0,182690,2020-03-23T00:00:00.000Z,01002,24.03.2020 00:00
1,Schleswig-Holstein,SK Kiel,A15-A34,W,1,0,182691,2020-03-10T00:00:00.000Z,01002,24.03.2020 00:00
1,Schleswig-Holstein,SK Kiel,A15-A34,W,1,0,182692,2020-03-12T00:00:00.000Z,01002,24.03.2020 00:00
1,Schleswig-Holstein,SK Kiel,A15-A34,W,3,0,182693,2020-03-16T00:00:00.000Z,01002,24.03.2020 00:00
1,Schleswig-Holstein,SK Kiel,A15-A34,W,1,0,182694,2020-03-17T00:00:00.000Z,01002,24.03.2020 00:00
1,Schleswig-Holstein,SK Kiel,A15-A34,W,2,0,182695,2020-03-18T00:00:00.000Z,01002,24.03.2020 00:00
1,Schleswig-Holstein,SK Kiel,A15-A34,W,3,0,182696,2020-03-19T00:00:00.000Z,01002,24.03.2020 00:00
1,Schleswig-Holstein,SK Kiel,A15-A34,W,1,0,182697,2020-03-20T00:00:00.000Z,01002,24.03.2020 00:00
1,Schleswig-Holstein,SK Kiel,A15-A34,W,1,0,182698,2020-03-22T00:00:00.000Z,01002,24.03.2020 00:00
1,Schleswig-Holstein,SK Kiel,A15-A34,W,3,0,182699,2020-03-23T00:00:00.000Z,01002,24.03.2020 00:00
1,Schleswig-Holstein,SK Kiel,A35-A59,M,1,0,182700,2020-03-11T00:00:00.000Z,01002,24.03.2020 00:00
1,Schleswig-Holstein,SK Kiel,A35-A59,M,1,0,182701,2020-03-12T00:00:00.000Z,01002,24.03.2020 00:00
1,Schleswig-Holstein,SK Kiel,A35-A59,M,3,0,182702,2020-03-19T00:00:00.000Z,01002,24.03.2020 00:00
1,Schleswig-Holstein,SK Kiel,A35-A59,M,1,0,182703,2020-03-21T00:00:00.000Z,01002,24.03.2020 00:00
1,Schleswig-Holstein,SK Kiel,A35-A59,W,1,0,182704,2020-03-10T00:00:00.000Z,01002,24.03.2020 00:00
1,Schleswig-Holstein,SK Kiel,A35-A59,W,1,0,182705,2020-03-11T00:00:00.000Z,01002,24.03.2020 00:00
1,Schleswig-Holstein,SK Kiel,A35-A59,W,2,0,182706,2020-03-12T00:00:00.000Z,01002,24.03.2020 00:00
